title,year,number,director,location,field,boxoffice,info,poster,genre,events
"The Last Laugh",2016,-3.5,"Ferne Pearlstein","미국","상업영화","자료없음",https://www.imdb.com/title/tt2102508,https://m.media-amazon.com/images/M/MV5BODkwNjQ4NzMwOV5BMl5BanBnXkFtZTgwNTcyMTkxMTI@._V1_UX182_CR00182268_AL_.jpg,"Documentary"
"Treto poluvreme",2012,-3.5,"Darko Mitrevski","마케도니아, 체코, 미국","상업영화","자료없음",https://www.imdb.com/title/tt2069100,https://m.media-amazon.com/images/M/MV5BMTU1NzM5NjE0M15BMl5BanBnXkFtZTcwNTY2MDA2OA@@._V1_UY268_CR30182268_AL_.jpg,"Drama, History, Romance"
"No Asylum: The Untold Chapter of Anne Franks Story",2015,-3.5,"Paula Fouce","미국, 독일, 스위스, 영국","상업영화","자료없음",https://www.imdb.com/title/tt4121274,https://m.media-amazon.com/images/M/MV5BMjYzZDM4OTUtNWFmYy00NTQ3LTljN2YtZGY3YTRmODUzZGVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDY2Njg0MA@@._V1_UY268_CR120182268_AL_.jpg,"Documentary, History"
"Big Sonia",2016,-4.5,"Todd Soliday, Leah Warshawski","미국","상업영화","212,471달러",https://www.imdb.com/title/tt3531176,https://m.media-amazon.com/images/M/MV5BYmFlNTg0MDctYWFjOC00ODIwLTgxYjktYmQzYTNkMzAzZmY4XkEyXkFqcGdeQXVyODA3NTE5MDU@._V1_UX182_CR00182268_AL_.jpg,"Documentary, Family, History"
"Hotel Lux",2011,-3.5,"Leander Haußmann","독일","상업영화","자료없음",https://www.imdb.com/title/tt1529559,https://m.media-amazon.com/images/M/MV5BMTUyOTA1Njc2MV5BMl5BanBnXkFtZTgwMzQ4Mzk1MTE@._V1_UY268_CR90182268_AL_.jpg,"Comedy"
"The Flat",2011,-4.5,"Arnon Goldfinger","이스라엘, 독일","상업영화","467,022달러",https://www.imdb.com/title/tt2071620,https://m.media-amazon.com/images/M/MV5BMTg5Mjc1NjA2MV5BMl5BanBnXkFtZTcwMTM0OTM1OA@@._V1_UY268_CR10182268_AL_.jpg,"Documentary"
"Once I Was",2010,-3.5,"Avi Nesher","이스라엘","상업영화","자료없음",https://www.imdb.com/title/tt1655424,https://m.media-amazon.com/images/M/MV5BMTU0MDA0NzA2Nl5BMl5BanBnXkFtZTcwOTk5NjQ5Ng@@._V1_UY268_CR30182268_AL_.jpg,"Drama"
"The Quarrel",1991,-3.5,"Eli Cohen","캐나다","독립영화","260,024달러",https://www.imdb.com/title/tt0105200,https://m.media-amazon.com/images/M/MV5BMTY4OTcyOTUzOV5BMl5BanBnXkFtZTcwOTQ1NjEyMQ@@._V1_UY268_CR50182268_AL_.jpg,"Drama"
"Knocking",2006,-3.5,"Joel Engardio, Tom Shepard","미국","상업영화","자료없음",https://www.imdb.com/title/tt0479939,https://m.media-amazon.com/images/M/MV5BYzNhNzk1MWUtNGVjZS00ODBjLWE2Y2YtMTg0NjQzNzYxNmE5XkEyXkFqcGdeQXVyMTM0NDQzOA@@._V1_UY268_CR20182268_AL_.jpg,"Documentary"
"Anne no nikki",1995,-3.5,"Akinori Nagaoka","일본","상업영화","자료없음",https://www.imdb.com/title/tt0112862,https://m.media-amazon.com/images/M/MV5BZjY2OGFjODYtZjI4Mi00ZmY1LWFmMzMtNjMyZTBjZjkwYjEwXkEyXkFqcGdeQXVyMzA3NDI5NTQ@._V1_UY268_CR20182268_AL_.jpg,"Animation, Biography, Drama"
"The Hangman",1964,-3.5,"Les Goldman, Paul Julian","미국","상업영화","자료없음",https://www.imdb.com/title/tt0242499,https://img.sbs.co.kr/newimg/news/20180806/201213344.jpg,"Animation, Short"
"Kolysanka",1986,-3.5,"Efraim Sevela","폴란드, 스위스","상업영화","자료없음",https://www.imdb.com/title/tt0093450,https://img.sbs.co.kr/newimg/news/20180806/201213344.jpg,"Drama"
"Visas and Virtue",1997,-3.5,"Chris Tashima","미국","독립영화","자료없음",https://www.imdb.com/title/tt0141963,https://m.media-amazon.com/images/M/MV5BMTA1OTk1OTYzMDFeQTJeQWpwZ15BbWU3MDc5NzE5MjE@._V1_UX182_CR00182268_AL_.jpg,"Short, Biography, Drama"
"Dear Freddy",2017,-3.5,"Rubi Gat","이스라엘","상업영화","자료없음",https://www.imdb.com/title/tt7916478,https://m.media-amazon.com/images/M/MV5BY2NmNDNjM2EtYjIyMy00MDNmLTg1MWQtYmEyZWE5NzY3YTdkXkEyXkFqcGdeQXVyMjMyMzI4MzY@._V1_UY268_CR40182268_AL_.jpg,"Documentary, Animation"
"The Memory Thief",2007,-3.5,"Gil Kofman","미국","독립영화","자료없음",https://www.imdb.com/title/tt0437250,https://m.media-amazon.com/images/M/MV5BYzljMDUxNDktMmY4Ny00NjU1LWIyNTktM2MxZWFiMWNlYzc1XkEyXkFqcGdeQXVyMTM4Nzg3NjA@._V1_UX182_CR00182268_AL_.jpg,"Drama"
"Hiding and Seeking: Faith and Tolerance After the Holocaust",2004,-3.5,"Menachem Daum, Oren Rudavsky","미국","상업영화","51,091달러",https://www.imdb.com/title/tt0398103,https://m.media-amazon.com/images/M/MV5BMzIwOTYxMzY3Ml5BMl5BanBnXkFtZTcwNTE4NDcyMQ@@._V1_UY268_CR110182268_AL_.jpg,"Documentary"
"Trezoros: The Lost Jews of Kastoria",2016,-5.5,"Larry Confino, Lawrence M. Russo","미국","상업영화","자료없음",https://www.imdb.com/title/tt5699938,https://m.media-amazon.com/images/M/MV5BMDM0OWM0NjEtZjIzOS00ODQ0LWEzZWMtOTE1MWIxZWJiOTg4XkEyXkFqcGdeQXVyMTQ0MzMwNQ@@._V1_UX182_CR00182268_AL_.jpg,"Documentary"
"The Essential Link: The Story of Wilfrid Israel",2016,-6.5,"Yonatan Nir","이스라엘","상업영화","자료없음",https://www.imdb.com/title/tt5921554,https://m.media-amazon.com/images/M/MV5BZTljMjQ4ZDUtMmJhMi00ODI0LTg3MjctZWJkNjkxYTgzZjVhXkEyXkFqcGdeQXVyNjU3OTkyNTU@._V1_UY268_CR00182268_AL_.jpg,"Documentary, Biography, History"
