category,division,paygap
"농업, 임업 및 어업",농업,0.327
"농업, 임업 및 어업",어업,0.363
광업,"석탄, 원유 및 천연가스 광업",0.04
광업,금속 광업,-0.597
광업,비금속광물 광업; 연료용 제외,0.4
제조업,식료품 제조업,0.284
제조업,음료 제조업,0.38
제조업,담배 제조업,0.256
제조업,섬유제품 제조업; 의복 제외,0.196
제조업,"의복, 의복 액세서리 및 모피제품 제조업",0.197
제조업,"가죽, 가방 및 신발 제조업",0.306
제조업,목재 및 나무제품 제조업; 가구 제외,0.319
제조업,"펄프, 종이 및 종이제품 제조업",0.382
제조업,인쇄 및 기록매체 복제업,0.319
제조업,"코크스, 연탄 및 석유정제품 제조업",0.444
제조업,화학 물질 및 화학제품 제조업; 의약품 제외,0.322
제조업,의료용 물질 및 의약품 제조업,0.271
제조업,고무 및 플라스틱제품 제조업,0.252
제조업,비금속 광물제품 제조업,0.343
제조업,1차 금속 제조업,0.306
제조업,금속 가공제품 제조업; 기계 및 가구 제외,0.291
제조업,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",0.294
제조업,"의료, 정밀, 광학 기기 및 시계 제조업",0.289
제조업,전기장비 제조업,0.351
제조업,기타 기계 및 장비 제조업,0.337
제조업,자동차 및 트레일러 제조업,0.22
제조업,기타 운송장비 제조업,0.311
제조업,가구 제조업,0.348
제조업,기타 제품 제조업,0.355
"전기, 가스, 증기 및 공기 조절 공급업","전기, 가스, 증기 및 공기 조절 공급업",0.325
"수도, 하수 및 폐기물 처리, 원료 재생업","폐기물 수집, 운반, 처리 및 원료 재생업",0.39
"수도, 하수 및 폐기물 처리, 원료 재생업",환경 정화 및 복원업,0.376
건설업,종합 건설업,0.46
건설업,전문직별 공사업,0.403
도매 및 소매업,자동차 및 부품 판매업,0.456
도매 및 소매업,도매 및 상품 중개업,0.284
도매 및 소매업,소매업; 자동차 제외,0.341
운수 및 창고업,육상 운송 및 파이프라인 운송업,0.312
운수 및 창고업,수상 운송업,0.314
운수 및 창고업,항공 운송업,0.341
운수 및 창고업,창고 및 운송관련 서비스업,0.412
숙박 및 음식점업,숙박업,0.285
숙박 및 음식점업,음식점 및 주점업,0.345
정보통신업,출판업,0.308
정보통신업,영상ㆍ오디오 기록물 제작 및 배급업,0.248
정보통신업,방송업,0.283
정보통신업,우편 및 통신업,0.322
정보통신업,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",0.276
정보통신업,정보서비스업,0.307
금융 및 보험업,금융업,0.357
금융 및 보험업,보험 및 연금업,0.394
금융 및 보험업,금융 및 보험관련 서비스업,0.415
부동산업,부동산업,0.312
"전문, 과학 및 기술 서비스업",연구개발업,0.206
"전문, 과학 및 기술 서비스업",전문 서비스업,0.403
"전문, 과학 및 기술 서비스업","건축 기술, 엔지니어링 및 기타 과학기술 서비스업",0.394
"전문, 과학 및 기술 서비스업","기타 전문, 과학 및 기술 서비스업",0.274
"사업시설 관리, 사업 지원 및 임대 서비스업",사업 지원 서비스업,0.269
"사업시설 관리, 사업 지원 및 임대 서비스업",임대업; 부동산 제외,0.414
교육 서비스업,교육 서비스업,0.209
"예술, 스포츠 및 여가관련 서비스업","창작, 예술 및 여가관련 서비스업",0.274
"예술, 스포츠 및 여가관련 서비스업",스포츠 및 오락관련 서비스업,0.307
"협회 및 단체, 수리 및 기타 개인 서비스업",개인 및 소비용품 수리업,0.323
"협회 및 단체, 수리 및 기타 개인 서비스업",기타 개인 서비스업,0.319
