corpName,category,paygap, m ,f,gapvalue,f_rate
한화건설,건설업,67.4,61157380,19912214,41245166,10.02678913
케이비캐피탈,금융 및 보험업,66.9,75027778,24828909,50198869,48.49785408
케이티비투자증권,금융 및 보험업,65.2,170266000,59244000,111022000,30.25
동원산업,"농업, 임업 및 어업",63.5,104000000,38000000,66000000,16.18569636
태영건설,건설업,61.5,72899049,28061300,44837749,9.584664537
한국종합기술,"전문, 과학 및 기술 서비스업",61,62096405,24211124,37885281,11.15635179
블루홀,정보통신업,60.9,92000000,36000000,56000000,23.93736018
서희건설,건설업,60.3,58000000,23000000,35000000,11.46161935
현대오일뱅크,제조업,59,105000000,43000000,62000000,8.429118774
메리츠캐피탈,금융 및 보험업,58.8,80000000,33000000,47000000,43.47826087
현대커머셜,금융 및 보험업,57.4,101000000,43000000,58000000,44.28152493
고려신용정보,"사업시설 관리, 사업 지원 및 임대 서비스업",56.9,36592909,15779698,20813211,64.37246964
금호산업,건설업,56.6,54600036,23684479,30915557,13.85816526
DB금융투자,금융 및 보험업,55.9,103049180,45476744,57572436,31.97026022
SK에너지,제조업,55.7,158000000,70000000,88000000,6.604506605
유니드,제조업,55.2,39878500,17860000,22018500,11.18421053
DB생명보험,금융 및 보험업,54.8,91104000,41170000,49934000,52.19683656
휴젤,제조업,54.5,88000000,40000000,48000000,49.26108374
엠피그룹,도매 및 소매업,53.8,33612000,15529000,18083000,51.61290323
이마트에브리데이,도매 및 소매업,53.7,41000000,19000000,22000000,63.16865417
메리츠종합금융증권,금융 및 보험업,53.5,135420287,63004405,72415882,26.02930914
예림당,정보통신업,53.1,54664169,25624132,29040037,47.73379231
코오롱글로벌,건설업,52.9,56841315,26774799,30066516,13.14769122
에이플러스에셋어드바이저,금융 및 보험업,52.6,57000000,27000000,30000000,63.07277628
대상,제조업,52.4,67769304,32240812,35528492,59.65384615
한양,건설업,52.1,54199141,25970028,28229113,12.48554913
한신공영,건설업,51.7,58000000,28000000,30000000,11.01321586
한화케미칼,제조업,51.5,99988743,48485207,51503536,11.81262729
LG상사,도매 및 소매업,51.5,116039604,56292793,59746811,26.8115942
신세계,도매 및 소매업,51.3,80000000,39000000,41000000,68.0392778
아시아나항공,운수 및 창고업,51.2,84000000,41000000,43000000,53.67679928
BNK캐피탈,금융 및 보험업,51,51000000,25000000,26000000,35.14938489
케이씨씨건설,건설업,50.9,71557362,35123077,36434285,10.42701092
광주신세계,도매 및 소매업,50.8,61000000,30000000,31000000,67.81609195
농업회사법인농우바이오,"농업, 임업 및 어업",50.8,65000000,32000000,33000000,38.47780127
하나캐피탈,금융 및 보험업,50.7,69000000,34000000,35000000,40.31413613
흥국화재해상보험,금융 및 보험업,50.6,73719877,36407974,37311903,40.06908463
DB손해보험,금융 및 보험업,50.4,93047000,46189000,46858000,56.21104185
AJ네트웍스,"사업시설 관리, 사업 지원 및 임대 서비스업",50.3,50686927,25209692,25477235,36.40856672
포스코건설,건설업,50.1,68291761,34080214,34211547,10.33529845
글로벌에스엠테크리미티드,금융 및 보험업,50,20000000,10000000,10000000,35.87069864
무학,제조업,50,38000000,19000000,19000000,42.98921418
와이솔,제조업,50,62000000,31000000,31000000,41.86413902
이마트,도매 및 소매업,50,50000000,25000000,25000000,65.03109633
흥국생명보험,금융 및 보험업,50,68000000,34000000,34000000,52.66666667
